w  L  F   dF   ddF gamma2
1.520000000000000018e+00  9.599999999999999645e-01  9.700000000000000289e-03  -7.991000000000000325e-01  -5.202999999999999847e-01  -1.000000000000000000e+00
1.530000000000000027e+00  9.399999999999999467e-01  1.699999999999999905e-03  -8.043000000000000149e-01  -5.123999999999999666e-01  -1.000000000000000000e+00
1.540000000000000036e+00  9.200000000000000400e-01  -6.300000000000000044e-03  -8.093000000000000194e-01  -5.044999999999999485e-01  -1.000000000000000000e+00
1.550000000000000044e+00  9.000000000000000222e-01  -1.450000000000000074e-02  -8.143000000000000238e-01  -4.966999999999999749e-01  -1.000000000000000000e+00
1.560000000000000053e+00  8.800000000000000044e-01  -2.259999999999999856e-02  -8.193000000000000282e-01  -4.888000000000000123e-01  -1.000000000000000000e+00
1.570000000000000062e+00  8.599999999999999867e-01  -3.080000000000000099e-02  -8.241000000000000547e-01  -4.809999999999999831e-01  -1.000000000000000000e+00
1.580000000000000071e+00  8.399999999999999689e-01  -3.910000000000000281e-02  -8.288999999999999702e-01  -4.732999999999999985e-01  -1.000000000000000000e+00
1.590000000000000080e+00  8.199999999999999512e-01  -4.739999999999999769e-02  -8.336000000000000076e-01  -4.655000000000000249e-01  -1.000000000000000000e+00
1.600000000000000089e+00  8.000000000000000444e-01  -5.580000000000000238e-02  -8.381999999999999451e-01  -4.577999999999999847e-01  -1.000000000000000000e+00
1.610000000000000098e+00  7.800000000000000266e-01  -6.419999999999999318e-02  -8.427000000000000046e-01  -4.501999999999999891e-01  -1.000000000000000000e+00
1.620000000000000107e+00  7.600000000000000089e-01  -7.259999999999999787e-02  -8.471999999999999531e-01  -4.425999999999999934e-01  -1.000000000000000000e+00
1.629999999999999893e+00  7.399999999999999911e-01  -8.110000000000000542e-02  -8.516000000000000236e-01  -4.349999999999999978e-01  -1.000000000000000000e+00
1.639999999999999902e+00  7.199999999999999734e-01  -8.970000000000000195e-02  -8.558999999999999941e-01  -4.274000000000000021e-01  -1.000000000000000000e+00
1.649999999999999911e+00  6.999999999999999556e-01  -9.819999999999999563e-02  -8.600999999999999757e-01  -4.198999999999999955e-01  -1.000000000000000000e+00
1.659999999999999920e+00  6.800000000000000488e-01  -1.068999999999999950e-01  -8.642999999999999572e-01  -4.124999999999999778e-01  -1.000000000000000000e+00
1.669999999999999929e+00  6.600000000000000311e-01  -1.155000000000000054e-01  -8.683999999999999497e-01  -4.050000000000000266e-01  -1.000000000000000000e+00
1.679999999999999938e+00  6.400000000000000133e-01  -1.242000000000000048e-01  -8.723999999999999533e-01  -3.976999999999999980e-01  -1.000000000000000000e+00
1.689999999999999947e+00  6.199999999999999956e-01  -1.330000000000000071e-01  -8.762999999999999678e-01  -3.902999999999999803e-01  -1.000000000000000000e+00
1.699999999999999956e+00  5.999999999999999778e-01  -1.418000000000000094e-01  -8.801999999999999824e-01  -3.830000000000000071e-01  -1.000000000000000000e+00
1.709999999999999964e+00  5.799999999999999600e-01  -1.506000000000000116e-01  -8.840000000000000080e-01  -3.758000000000000229e-01  -1.000000000000000000e+00
1.719999999999999973e+00  5.600000000000000533e-01  -1.593999999999999861e-01  -8.877000000000000446e-01  -3.685999999999999832e-01  -1.000000000000000000e+00
1.729999999999999982e+00  5.400000000000000355e-01  -1.683000000000000052e-01  -8.913999999999999702e-01  -3.613999999999999990e-01  -1.000000000000000000e+00
1.739999999999999991e+00  5.200000000000000178e-01  -1.773000000000000131e-01  -8.950000000000000178e-01  -3.543000000000000038e-01  -1.000000000000000000e+00
1.750000000000000000e+00  5.000000000000000000e-01  -1.862000000000000044e-01  -8.984999999999999654e-01  -3.472000000000000086e-01  -1.000000000000000000e+00
1.760000000000000009e+00  4.799999999999999822e-01  -1.952000000000000124e-01  -9.019000000000000350e-01  -3.402000000000000024e-01  -1.000000000000000000e+00
1.770000000000000018e+00  4.600000000000000200e-01  -2.043000000000000094e-01  -9.052999999999999936e-01  -3.331999999999999962e-01  -1.000000000000000000e+00
1.780000000000000027e+00  4.400000000000000022e-01  -2.132999999999999896e-01  -9.085999999999999632e-01  -3.262999999999999790e-01  -1.000000000000000000e+00
1.790000000000000036e+00  4.199999999999999845e-01  -2.223999999999999866e-01  -9.118000000000000549e-01  -3.194000000000000172e-01  -1.000000000000000000e+00
1.800000000000000044e+00  4.000000000000000222e-01  -2.316000000000000003e-01  -9.150000000000000355e-01  -3.125999999999999890e-01  -1.000000000000000000e+00
1.810000000000000053e+00  3.800000000000000044e-01  -2.406999999999999973e-01  -9.180000000000000382e-01  -3.058000000000000163e-01  -1.000000000000000000e+00
1.820000000000000062e+00  3.599999999999999867e-01  -2.499000000000000110e-01  -9.211000000000000298e-01  -2.990999999999999770e-01  -1.000000000000000000e+00
1.830000000000000071e+00  3.400000000000000244e-01  -2.591999999999999860e-01  -9.240000000000000435e-01  -2.923999999999999932e-01  -1.000000000000000000e+00
1.840000000000000080e+00  3.200000000000000067e-01  -2.684000000000000274e-01  -9.268999999999999462e-01  -2.857999999999999985e-01  -1.000000000000000000e+00
