w  L  F   dF   ddF gamma2
1.530000000000000027e+00  6.940000000000000391e+00  1.544000000000000039e+00  3.507000000000000117e-01  -7.941000000000000281e-01  -8.610999999999999766e-01
1.540000000000000036e+00  6.919999999999999929e+00  1.547500000000000098e+00  3.427999999999999936e-01  -7.923999999999999932e-01  -8.610999999999999766e-01
1.550000000000000044e+00  6.900000000000000355e+00  1.550899999999999945e+00  3.348999999999999755e-01  -7.905999999999999694e-01  -8.610999999999999766e-01
1.560000000000000053e+00  6.879999999999999893e+00  1.554200000000000026e+00  3.270000000000000129e-01  -7.887999999999999456e-01  -8.610999999999999766e-01
1.570000000000000062e+00  6.860000000000000320e+00  1.557399999999999896e+00  3.190999999999999948e-01  -7.871000000000000218e-01  -8.610999999999999766e-01
1.580000000000000071e+00  6.839999999999999858e+00  1.560599999999999987e+00  3.113000000000000211e-01  -7.852999999999999980e-01  -8.610999999999999766e-01
1.590000000000000080e+00  6.820000000000000284e+00  1.563600000000000101e+00  3.034000000000000030e-01  -7.833999999999999853e-01  -8.610999999999999766e-01
1.600000000000000089e+00  6.799999999999999822e+00  1.566599999999999993e+00  2.955999999999999739e-01  -7.815999999999999615e-01  -8.610999999999999766e-01
1.610000000000000098e+00  6.780000000000000249e+00  1.569600000000000106e+00  2.878000000000000003e-01  -7.798000000000000487e-01  -8.610999999999999766e-01
1.620000000000000107e+00  6.759999999999999787e+00  1.572400000000000020e+00  2.800000000000000266e-01  -7.779000000000000359e-01  -8.610999999999999766e-01
1.629999999999999893e+00  6.740000000000000213e+00  1.575199999999999934e+00  2.721999999999999975e-01  -7.760000000000000231e-01  -8.610999999999999766e-01
1.639999999999999902e+00  6.719999999999999751e+00  1.577800000000000091e+00  2.645000000000000129e-01  -7.741000000000000103e-01  -8.610999999999999766e-01
1.649999999999999911e+00  6.700000000000000178e+00  1.580500000000000016e+00  2.566999999999999837e-01  -7.721999999999999975e-01  -8.610999999999999766e-01
1.659999999999999920e+00  6.679999999999999716e+00  1.582999999999999963e+00  2.489999999999999991e-01  -7.702999999999999847e-01  -8.610999999999999766e-01
1.669999999999999929e+00  6.660000000000000142e+00  1.585399999999999920e+00  2.412999999999999867e-01  -7.683999999999999719e-01  -8.610999999999999766e-01
1.679999999999999938e+00  6.639999999999999680e+00  1.587800000000000100e+00  2.336999999999999911e-01  -7.663999999999999702e-01  -8.610999999999999766e-01
1.689999999999999947e+00  6.620000000000000107e+00  1.590100000000000069e+00  2.260000000000000064e-01  -7.644999999999999574e-01  -8.610999999999999766e-01
1.699999999999999956e+00  6.599999999999999645e+00  1.592300000000000049e+00  2.184000000000000108e-01  -7.624999999999999556e-01  -8.610999999999999766e-01
1.709999999999999964e+00  6.580000000000000071e+00  1.594500000000000028e+00  2.107999999999999874e-01  -7.604999999999999538e-01  -8.610999999999999766e-01
1.719999999999999973e+00  6.559999999999999609e+00  1.596500000000000030e+00  2.031999999999999917e-01  -7.584999999999999520e-01  -8.610999999999999766e-01
1.729999999999999982e+00  6.540000000000000036e+00  1.598500000000000032e+00  1.955999999999999961e-01  -7.564999999999999503e-01  -8.610999999999999766e-01
1.739999999999999991e+00  6.519999999999999574e+00  1.600500000000000034e+00  1.880000000000000004e-01  -7.544999999999999485e-01  -8.610999999999999766e-01
1.750000000000000000e+00  6.500000000000000000e+00  1.602300000000000058e+00  1.804999999999999938e-01  -7.524999999999999467e-01  -8.610999999999999766e-01
1.760000000000000009e+00  6.480000000000000426e+00  1.604100000000000081e+00  1.729999999999999871e-01  -7.503999999999999559e-01  -8.610999999999999766e-01
1.770000000000000018e+00  6.459999999999999964e+00  1.605799999999999894e+00  1.655000000000000082e-01  -7.482999999999999652e-01  -8.610999999999999766e-01
1.780000000000000027e+00  6.440000000000000391e+00  1.607399999999999940e+00  1.580000000000000016e-01  -7.462999999999999634e-01  -8.610999999999999766e-01
1.790000000000000036e+00  6.419999999999999929e+00  1.608899999999999997e+00  1.506000000000000116e-01  -7.441999999999999726e-01  -8.610999999999999766e-01
1.800000000000000044e+00  6.400000000000000355e+00  1.610400000000000054e+00  1.431000000000000050e-01  -7.420999999999999819e-01  -8.610999999999999766e-01
1.810000000000000053e+00  6.379999999999999893e+00  1.611799999999999899e+00  1.356999999999999873e-01  -7.399999999999999911e-01  -8.610999999999999766e-01
1.820000000000000062e+00  6.360000000000000320e+00  1.613099999999999978e+00  1.282999999999999974e-01  -7.378000000000000114e-01  -8.610999999999999766e-01
1.830000000000000071e+00  6.339999999999999858e+00  1.614300000000000068e+00  1.209999999999999964e-01  -7.357000000000000206e-01  -8.610999999999999766e-01
1.840000000000000080e+00  6.320000000000000284e+00  1.615499999999999936e+00  1.136000000000000065e-01  -7.336000000000000298e-01  -8.610999999999999766e-01
1.850000000000000089e+00  6.299999999999999822e+00  1.616600000000000037e+00  1.063000000000000056e-01  -7.314000000000000501e-01  -8.610999999999999766e-01
1.860000000000000098e+00  6.280000000000000249e+00  1.617599999999999927e+00  9.900000000000000466e-02  -7.291999999999999593e-01  -8.610999999999999766e-01
