w  L  F   dF   ddF gamma2
1.290000000000000036e+00  7.419999999999999929e+00  3.165000000000000036e+00  1.085199999999999942e+00  -1.927000000000000046e+00  -4.000000000000000000e+00
1.300000000000000044e+00  7.400000000000000355e+00  3.175800000000000178e+00  1.066000000000000059e+00  -1.919200000000000017e+00  -4.000000000000000000e+00
1.310000000000000053e+00  7.379999999999999893e+00  3.186399999999999899e+00  1.046799999999999953e+00  -1.911299999999999999e+00  -4.000000000000000000e+00
1.320000000000000062e+00  7.360000000000000320e+00  3.196699999999999875e+00  1.027800000000000047e+00  -1.903299999999999992e+00  -4.000000000000000000e+00
1.330000000000000071e+00  7.339999999999999858e+00  3.206900000000000084e+00  1.008799999999999919e+00  -1.895299999999999985e+00  -4.000000000000000000e+00
1.340000000000000080e+00  7.320000000000000284e+00  3.216899999999999871e+00  9.899000000000000021e-01  -1.887199999999999989e+00  -4.000000000000000000e+00
1.350000000000000089e+00  7.299999999999999822e+00  3.226700000000000124e+00  9.709999999999999742e-01  -1.879000000000000004e+00  -4.000000000000000000e+00
1.360000000000000098e+00  7.280000000000000249e+00  3.236299999999999955e+00  9.523000000000000353e-01  -1.870800000000000018e+00  -4.000000000000000000e+00
1.370000000000000107e+00  7.259999999999999787e+00  3.245800000000000018e+00  9.335999999999999854e-01  -1.862500000000000044e+00  -4.000000000000000000e+00
1.379999999999999893e+00  7.240000000000000213e+00  3.254999999999999893e+00  9.150000000000000355e-01  -1.854100000000000081e+00  -4.000000000000000000e+00
1.389999999999999902e+00  7.219999999999999751e+00  3.264100000000000001e+00  8.964999999999999636e-01  -1.845699999999999896e+00  -4.000000000000000000e+00
1.399999999999999911e+00  7.200000000000000178e+00  3.272899999999999920e+00  8.780999999999999917e-01  -1.837199999999999944e+00  -4.000000000000000000e+00
1.409999999999999920e+00  7.179999999999999716e+00  3.281600000000000072e+00  8.598000000000000087e-01  -1.828600000000000003e+00  -4.000000000000000000e+00
1.419999999999999929e+00  7.160000000000000142e+00  3.290099999999999802e+00  8.415000000000000258e-01  -1.820000000000000062e+00  -4.000000000000000000e+00
1.429999999999999938e+00  7.139999999999999680e+00  3.298399999999999999e+00  8.234000000000000208e-01  -1.811299999999999910e+00  -4.000000000000000000e+00
1.439999999999999947e+00  7.120000000000000107e+00  3.306599999999999984e+00  8.053000000000000158e-01  -1.802499999999999991e+00  -4.000000000000000000e+00
1.449999999999999956e+00  7.099999999999999645e+00  3.314599999999999991e+00  7.872999999999999998e-01  -1.793700000000000072e+00  -4.000000000000000000e+00
1.459999999999999964e+00  7.080000000000000071e+00  3.322299999999999809e+00  7.693999999999999728e-01  -1.784899999999999931e+00  -4.000000000000000000e+00
1.469999999999999973e+00  7.059999999999999609e+00  3.329899999999999860e+00  7.516000000000000458e-01  -1.776000000000000023e+00  -4.000000000000000000e+00
1.479999999999999982e+00  7.040000000000000036e+00  3.337400000000000144e+00  7.338999999999999968e-01  -1.766999999999999904e+00  -4.000000000000000000e+00
1.489999999999999991e+00  7.019999999999999574e+00  3.344599999999999795e+00  7.163000000000000478e-01  -1.758000000000000007e+00  -4.000000000000000000e+00
1.500000000000000000e+00  7.000000000000000000e+00  3.351700000000000124e+00  6.987999999999999767e-01  -1.748899999999999899e+00  -4.000000000000000000e+00
1.510000000000000009e+00  6.980000000000000426e+00  3.358600000000000030e+00  6.813000000000000167e-01  -1.739800000000000013e+00  -4.000000000000000000e+00
1.520000000000000018e+00  6.959999999999999964e+00  3.365299999999999958e+00  6.640000000000000346e-01  -1.730599999999999916e+00  -4.000000000000000000e+00
1.530000000000000027e+00  6.940000000000000391e+00  3.371900000000000119e+00  6.467000000000000526e-01  -1.721400000000000041e+00  -4.000000000000000000e+00
1.540000000000000036e+00  6.919999999999999929e+00  3.378299999999999859e+00  6.294999999999999485e-01  -1.712099999999999955e+00  -4.000000000000000000e+00
1.550000000000000044e+00  6.900000000000000355e+00  3.384500000000000064e+00  6.125000000000000444e-01  -1.702800000000000091e+00  -4.000000000000000000e+00
1.560000000000000053e+00  6.879999999999999893e+00  3.390499999999999847e+00  5.955000000000000293e-01  -1.693500000000000005e+00  -4.000000000000000000e+00
1.570000000000000062e+00  6.860000000000000320e+00  3.396399999999999864e+00  5.786000000000000032e-01  -1.684099999999999930e+00  -4.000000000000000000e+00
1.580000000000000071e+00  6.839999999999999858e+00  3.402099999999999902e+00  5.617999999999999661e-01  -1.674600000000000088e+00  -4.000000000000000000e+00
1.590000000000000080e+00  6.820000000000000284e+00  3.407599999999999962e+00  5.451000000000000290e-01  -1.665200000000000014e+00  -4.000000000000000000e+00
1.600000000000000089e+00  6.799999999999999822e+00  3.412999999999999812e+00  5.284999999999999698e-01  -1.655599999999999961e+00  -4.000000000000000000e+00
1.610000000000000098e+00  6.780000000000000249e+00  3.418200000000000127e+00  5.120000000000000107e-01  -1.646099999999999897e+00  -4.000000000000000000e+00
1.620000000000000107e+00  6.759999999999999787e+00  3.423200000000000021e+00  4.955999999999999850e-01  -1.636500000000000066e+00  -4.000000000000000000e+00
1.629999999999999893e+00  6.740000000000000213e+00  3.428100000000000147e+00  4.793000000000000038e-01  -1.626900000000000013e+00  -4.000000000000000000e+00
1.639999999999999902e+00  6.719999999999999751e+00  3.432799999999999851e+00  4.630000000000000226e-01  -1.617199999999999971e+00  -4.000000000000000000e+00
1.649999999999999911e+00  6.700000000000000178e+00  3.437399999999999789e+00  4.469000000000000195e-01  -1.607499999999999929e+00  -4.000000000000000000e+00
1.659999999999999920e+00  6.679999999999999716e+00  3.441699999999999982e+00  4.309000000000000052e-01  -1.597800000000000109e+00  -4.000000000000000000e+00
1.669999999999999929e+00  6.660000000000000142e+00  3.446000000000000174e+00  4.149999999999999800e-01  -1.588000000000000078e+00  -4.000000000000000000e+00
1.679999999999999938e+00  6.639999999999999680e+00  3.450000000000000178e+00  3.991000000000000103e-01  -1.578200000000000047e+00  -4.000000000000000000e+00
